Population,Bag.Number,Jul-21,Aug-21,Oct-21,May-22,Oct-22
CL1,1,0.00,0.00,0.02,0.13,0.40
CL1,2,0.00,0.00,0.00,0.05,0.27
CL1,3,0.00,0.02,0.02,0.04,0.27
CL2,1,0.00,0.00,0.04,0.24,0.51
CL2,2,0.00,0.00,0.00,0.05,0.13
CT,1,0.02,0.02,0.04,0.20,0.31
CT,2,0.00,0.00,0.00,0.07,0.13
CT,3,0.00,0.00,0.00,0.02,0.09
GH,3,0.00,0.00,0.00,0.00,0.27
MV,2,0.00,0.00,0.00,0.05,0.51
MV,3,0.00,0.00,0.02,0.04,0.51
MV,1,0.00,0.00,0.04,0.04,0.64
NR,2,0.00,0.00,0.02,0.09,0.82
